[2022-07-23T11:04:35.612Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-23T11:04:35.613Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-23T11:04:35.613Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-23T11:04:35.613Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-23T11:04:35.613Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-23T11:04:35.613Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9018
[2022-07-23T11:04:35.613Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9028
[2022-07-23T11:04:35.613Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-23T11:04:35.613Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-23T11:04:35.613Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-23T11:04:35.613Z INFO  consensus::consensus] Node /GZyoVZfR4apusBz listening to consensus messages on 0.0.0.0:9008
[2022-07-23T11:04:35.613Z INFO  node::node] Node /GZyoVZfR4apusBz successfully booted
[2022-07-23T11:04:35.689Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59234
[2022-07-23T11:04:35.695Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59235
[2022-07-23T11:04:35.700Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59238
[2022-07-23T11:04:35.706Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59241
[2022-07-23T11:04:35.715Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59245
[2022-07-23T11:04:36.513Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59259
[2022-07-23T11:04:36.516Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59266
[2022-07-23T11:04:36.517Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59280
[2022-07-23T11:04:36.517Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59276
[2022-07-23T11:04:36.519Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59291
