[2022-07-23T10:57:58.101Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-23T10:57:58.102Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-23T10:57:58.102Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-23T10:57:58.102Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-23T10:57:58.102Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-23T10:57:58.102Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9018
[2022-07-23T10:57:58.102Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9028
[2022-07-23T10:57:58.102Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-23T10:57:58.103Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-23T10:57:58.103Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-23T10:57:58.103Z INFO  consensus::consensus] Node IdM+0AHMkmrI86Fy listening to consensus messages on 0.0.0.0:9008
[2022-07-23T10:57:58.103Z INFO  node::node] Node IdM+0AHMkmrI86Fy successfully booted
[2022-07-23T10:57:58.202Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63685
[2022-07-23T10:57:58.487Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63694
[2022-07-23T10:57:58.560Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63705
[2022-07-23T10:57:58.628Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63716
[2022-07-23T10:57:58.709Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63722
[2022-07-23T10:57:58.737Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63734
[2022-07-23T10:57:58.774Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63741
[2022-07-23T10:57:58.795Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63748
[2022-07-23T10:57:58.851Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63757
[2022-07-23T10:57:58.865Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63769
[2022-07-23T10:57:58.933Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63779
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> T/uxd2CQ6FgpDBq9m0UKLe8AbcJJso8FYdJfP8sSyGE=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> mpdc3HeHaUzsKLBSZc+2u83i3l/OUZzL1XMT34YaVBU=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> sS7nxiVS84IfDmBT1MagaQzKpOxLMAd+LrbkY76EP+A=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> kshWjb+VIx5Kr6S2o4BnW6GF4HWO/z+MCDZZzvRj6NQ=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> hDEyrBMXpaHF0sLdsbUklZNotBwV0J9dZMeE83hKJoo=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> dhqhII+//CmXhgJ4qrFoQ0/+RuqNoHmTTTz2USOcjrI=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> IrqwvVssUZmHG2R6E5tA1AItkxN+E0lx5EOn2cJUruY=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> rfLSRN3lfIT5ypL185VCVlG5BEVXX0gNuj1QQRakIHg=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> dtrPlrJeP9eRp5onwM/xGa8NxgZK9DVnPnpOfs4EpQ4=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> JxUsXgweTbJwgB1UboQxd/5mkhf0Ftl8LhWtuLibK9o=
[2022-07-23T10:57:58.938Z INFO  consensus::proposer] Created B2 -> kKfwZC0O2iShluFdoKhSxe1pG5LBxYuTEE9j5/8MrFE=
[2022-07-23T10:57:58.939Z INFO  consensus::core] I'm processor IdM+0AHMkmrI86Fy processing for block B2 with round number 2 with QC 0 from leader IdM+0AHMkmrI86Fy
[2022-07-23T10:57:58.939Z INFO  consensus::core] I'm voter IdM+0AHMkmrI86Fy voting for block B2 with round number 2 with QC 0 from leader IdM+0AHMkmrI86Fy
[2022-07-23T10:57:58.939Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63791
[2022-07-23T10:57:58.941Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-23T10:57:58.941Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9004
[2022-07-23T10:57:58.941Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-23T10:57:58.942Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9001
[2022-07-23T10:57:58.942Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-23T10:57:58.942Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-23T10:57:58.942Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-23T10:57:58.942Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9004
[2022-07-23T10:57:58.943Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-23T10:57:58.944Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-23T10:57:58.946Z INFO  consensus::proposer] Created B2
[2022-07-23T10:57:58.946Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-23T10:57:58.946Z INFO  consensus::proposer] Created B2 -> ojbdUgzfJrbSteOFWqC8O7yA7U3AtoDupiF9+V5u5gs=
[2022-07-23T10:57:58.946Z INFO  consensus::core] I'm processor IdM+0AHMkmrI86Fy processing for block B2 with round number 2 with QC 0 from leader IdM+0AHMkmrI86Fy
[2022-07-23T10:57:58.946Z INFO  consensus::core] I'm voter IdM+0AHMkmrI86Fy voting for block B2 with round number 2 with QC 0 from leader IdM+0AHMkmrI86Fy
[2022-07-23T10:57:58.951Z INFO  consensus::proposer] Created B2
[2022-07-23T10:57:58.951Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-23T10:57:58.951Z INFO  consensus::core] I'm processor IdM+0AHMkmrI86Fy processing for block B2 with round number 2 with QC 0 from leader IdM+0AHMkmrI86Fy
[2022-07-23T10:57:58.951Z INFO  consensus::core] I'm voter IdM+0AHMkmrI86Fy voting for block B2 with round number 2 with QC 0 from leader IdM+0AHMkmrI86Fy
[2022-07-23T10:57:58.953Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63817
[2022-07-23T10:57:58.959Z INFO  consensus::core] I'm handler IdM+0AHMkmrI86Fy handling for block B3 with round number 3 with QC 2 from leader Ioq+girfxCdwuP8g
[2022-07-23T10:57:58.960Z INFO  consensus::core] I'm processor IdM+0AHMkmrI86Fy processing for block B3 with round number 3 with QC 2 from leader Ioq+girfxCdwuP8g
[2022-07-23T10:57:58.960Z INFO  consensus::core] I'm voter IdM+0AHMkmrI86Fy voting for block B3 with round number 3 with QC 2 from leader Ioq+girfxCdwuP8g
[2022-07-23T10:57:58.962Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-23T10:57:58.964Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63826
[2022-07-23T10:57:58.964Z INFO  consensus::core] I'm handler IdM+0AHMkmrI86Fy handling for block B4 with round number 4 with QC 3 from leader VIRBRPCkdgF8RTu+
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 with QC 0
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 -> T/uxd2CQ6FgpDBq9m0UKLe8AbcJJso8FYdJfP8sSyGE=
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 -> mpdc3HeHaUzsKLBSZc+2u83i3l/OUZzL1XMT34YaVBU=
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 -> sS7nxiVS84IfDmBT1MagaQzKpOxLMAd+LrbkY76EP+A=
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 -> kshWjb+VIx5Kr6S2o4BnW6GF4HWO/z+MCDZZzvRj6NQ=
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 -> hDEyrBMXpaHF0sLdsbUklZNotBwV0J9dZMeE83hKJoo=
[2022-07-23T10:57:58.965Z INFO  consensus::core] Committed B2 -> dhqhII+//CmXhgJ4qrFoQ0/+RuqNoHmTTTz2USOcjrI=
[2022-07-23T10:57:58.966Z INFO  consensus::core] Committed B2 -> IrqwvVssUZmHG2R6E5tA1AItkxN+E0lx5EOn2cJUruY=
[2022-07-23T10:57:58.966Z INFO  consensus::core] Committed B2 -> rfLSRN3lfIT5ypL185VCVlG5BEVXX0gNuj1QQRakIHg=
[2022-07-23T10:57:58.966Z INFO  consensus::core] Committed B2 -> dtrPlrJeP9eRp5onwM/xGa8NxgZK9DVnPnpOfs4EpQ4=
[2022-07-23T10:57:58.966Z INFO  consensus::core] Committed B2 -> JxUsXgweTbJwgB1UboQxd/5mkhf0Ftl8LhWtuLibK9o=
[2022-07-23T10:57:58.966Z INFO  consensus::core] Committed B2 -> kKfwZC0O2iShluFdoKhSxe1pG5LBxYuTEE9j5/8MrFE=
[2022-07-23T10:57:58.966Z INFO  consensus::core] I'm processor IdM+0AHMkmrI86Fy processing for block B4 with round number 4 with QC 3 from leader VIRBRPCkdgF8RTu+
[2022-07-23T10:57:58.966Z INFO  consensus::core] I'm voter IdM+0AHMkmrI86Fy voting for block B4 with round number 4 with QC 3 from leader VIRBRPCkdgF8RTu+
[2022-07-23T10:57:58.966Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-23T10:57:58.971Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63838
[2022-07-23T10:57:58.973Z INFO  consensus::core] I'm handler IdM+0AHMkmrI86Fy handling for block B5 with round number 5 with QC 4 from leader vBrW0l+kM0KBQcxr
[2022-07-23T10:57:58.974Z INFO  consensus::core] I'm processor IdM+0AHMkmrI86Fy processing for block B5 with round number 5 with QC 4 from leader vBrW0l+kM0KBQcxr
[2022-07-23T10:57:58.974Z INFO  consensus::core] I'm voter IdM+0AHMkmrI86Fy voting for block B5 with round number 5 with QC 4 from leader vBrW0l+kM0KBQcxr
[2022-07-23T10:57:58.975Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-23T10:57:59.013Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63853
[2022-07-23T10:57:59.107Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63869
[2022-07-23T10:57:59.145Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 1): Connection refused (os error 111)
[2022-07-23T10:57:59.187Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63879
[2022-07-23T10:57:59.255Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63891
[2022-07-23T10:57:59.329Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63898
[2022-07-23T10:57:59.336Z INFO  mempool::batch_maker] Batch rmfSzjq6bv/GpEFTW34TVx5G52Ccixm9OTyz0/hj7YM= contains sample tx 0
[2022-07-23T10:57:59.336Z INFO  mempool::batch_maker] Batch rmfSzjq6bv/GpEFTW34TVx5G52Ccixm9OTyz0/hj7YM= contains 2560 B
[2022-07-23T10:57:59.337Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9026
[2022-07-23T10:57:59.338Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 0): Connection refused (os error 111)
[2022-07-23T10:57:59.338Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9021
[2022-07-23T10:57:59.338Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9024
[2022-07-23T10:57:59.338Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9020
[2022-07-23T10:57:59.338Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9022
[2022-07-23T10:57:59.339Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9027
[2022-07-23T10:57:59.339Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9025
[2022-07-23T10:57:59.340Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9023
[2022-07-23T10:57:59.382Z INFO  mempool::batch_maker] Batch phqki/mUEd5h+zn65DUJtcsbSs/DGaK458lXCyr6urw= contains 512 B
[2022-07-23T10:57:59.393Z INFO  mempool::batch_maker] Batch DJ62G7vhsprYIad9yQzlwjjv+EOX/GJLgcnCoh17LUw= contains sample tx 1
[2022-07-23T10:57:59.393Z INFO  mempool::batch_maker] Batch DJ62G7vhsprYIad9yQzlwjjv+EOX/GJLgcnCoh17LUw= contains 2048 B
[2022-07-23T10:57:59.438Z INFO  mempool::batch_maker] Batch GN1zzBkJOnYOK1NBsCM+Dt3Bn/XkJlxl6LuKy6C587Q= contains sample tx 2
[2022-07-23T10:57:59.438Z INFO  mempool::batch_maker] Batch GN1zzBkJOnYOK1NBsCM+Dt3Bn/XkJlxl6LuKy6C587Q= contains 2560 B
[2022-07-23T10:57:59.484Z INFO  mempool::batch_maker] Batch +/Y2Mtf5WmRnJl0RA0bK6eMlrXdGrSl3F/8dxiJABOY= contains sample tx 3
[2022-07-23T10:57:59.484Z INFO  mempool::batch_maker] Batch +/Y2Mtf5WmRnJl0RA0bK6eMlrXdGrSl3F/8dxiJABOY= contains 2560 B
[2022-07-23T10:57:59.540Z INFO  mempool::batch_maker] Batch LmWP6GEYE8vWRi9a+qmlGF9ZCW9afFOzOo2ClK9OBBQ= contains sample tx 4
[2022-07-23T10:57:59.540Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 1): Connection refused (os error 111)
[2022-07-23T10:57:59.540Z INFO  mempool::batch_maker] Batch LmWP6GEYE8vWRi9a+qmlGF9ZCW9afFOzOo2ClK9OBBQ= contains 2560 B
[2022-07-23T10:57:59.546Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 2): Connection refused (os error 111)
[2022-07-23T10:57:59.584Z INFO  mempool::batch_maker] Batch 6E+LKxDKXDZVrcIy1T60UQ5SSTA164YWWJ9bDTFRkdQ= contains sample tx 5
[2022-07-23T10:57:59.584Z INFO  mempool::batch_maker] Batch 6E+LKxDKXDZVrcIy1T60UQ5SSTA164YWWJ9bDTFRkdQ= contains 2560 B
[2022-07-23T10:57:59.642Z INFO  mempool::batch_maker] Batch IPyNQiOlUhi3SNLQrz9mR9BdVi20uLxRS07R3V73cKg= contains sample tx 6
[2022-07-23T10:57:59.643Z INFO  mempool::batch_maker] Batch IPyNQiOlUhi3SNLQrz9mR9BdVi20uLxRS07R3V73cKg= contains 2560 B
[2022-07-23T10:57:59.689Z INFO  mempool::batch_maker] Batch Eoy2hOSKYkZ/6KgLSl903B1OwhRhyXrGhIEHPGjPzL8= contains sample tx 7
[2022-07-23T10:57:59.689Z INFO  mempool::batch_maker] Batch Eoy2hOSKYkZ/6KgLSl903B1OwhRhyXrGhIEHPGjPzL8= contains 2560 B
[2022-07-23T10:57:59.733Z INFO  mempool::batch_maker] Batch RZJEla130t0MfVias4gB0JlGTlsks5SeXzhotHZO7OM= contains sample tx 8
[2022-07-23T10:57:59.733Z INFO  mempool::batch_maker] Batch RZJEla130t0MfVias4gB0JlGTlsks5SeXzhotHZO7OM= contains 2560 B
[2022-07-23T10:57:59.794Z INFO  mempool::batch_maker] Batch wAhIQrAbelBTKnjxpsDGWOyvMlPX7oMHomvlzDKQfsw= contains sample tx 9
[2022-07-23T10:57:59.794Z INFO  mempool::batch_maker] Batch wAhIQrAbelBTKnjxpsDGWOyvMlPX7oMHomvlzDKQfsw= contains 2560 B
[2022-07-23T10:57:59.841Z INFO  mempool::batch_maker] Batch wLz1gb4Yi76ijXKhOj0Qbez1oVxNS6kaHVPX8nKwasI= contains sample tx 10
[2022-07-23T10:57:59.841Z INFO  mempool::batch_maker] Batch wLz1gb4Yi76ijXKhOj0Qbez1oVxNS6kaHVPX8nKwasI= contains 2560 B
[2022-07-23T10:57:59.886Z INFO  mempool::batch_maker] Batch ciQPitEoQhOTLrvkHPECeKEQJEc/zg1jNh4wfIwsSec= contains sample tx 11
[2022-07-23T10:57:59.886Z INFO  mempool::batch_maker] Batch ciQPitEoQhOTLrvkHPECeKEQJEc/zg1jNh4wfIwsSec= contains 2560 B
